workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.priors0,Answer.priors1,Answer.priors2,Answer.priors3,Answer.priors4,Answer.priors5,Answer.priors6,Answer.priors7,Answer.priors8,Answer.priors9,Answer.bins0,Answer.bins1,Answer.bins2,Answer.bins3,Answer.bins4,Answer.bins5,Answer.bins6,Answer.bins7,Answer.bins8,Answer.bins9,Answer.orders,Answer.items,Answer.desTypes,Answer.qualities,Answer.dimensions,Answer.speakerGenders,Answer.genders,Answer.gender,Answer.age,Answer.income,Answer.nativeLanguage,Answer.comments
0,374UMBUHN5QJETRA2UDODJCZ9MHCTP,3R1N6HJI9BQOZ5YT44GEO21B424LWJ,Psychology study: Conversations (sclmetint3),We are interested in how people communicate with each other. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Mon Jan 25 14:57:20 PST 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Feb 24 14:57:20 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=374UMBUHN5QJETRA2UDODJCZ9MHCTP,30H4UDGLT2J1I78NP43J0PB1IU7MPU,0,Submitted,Tue Jan 26 07:40:55 PST 2016,Mon Jan 25 14:57:47 PST 2016,Mon Jan 25 15:00:55 PST 2016,,,,,,1,"[0.03,0.02,0.25,0.13,0.01,0.02]","[0.53,0.05,0.4,0.23,0.03,0.12]","[1,0.1,0.4,0.37,0.06,0.28]","[0.74,0.38,0.31,0.6,0.24,0.87]","[0.04,0.59,0.27,0.27,0.4,0.47]","[0.02,0.42,0.32,0.12,0.67,0.2]","[0.02,0.02,0.11,0,0.83,0.02]","[0,0.02,0,0.02,0.96,0.01]","[0.01,0.03,0.02,0.01,0.2,0.02]","[0.02,0,0,0.01,0.01,0.01]","[""0-10"",""0-1"",""0-1"",""0-1"",""0-10"",""0-1""]","[""10-100"",""1-4"",""1-5"",""1-5"",""10-100"",""1-4""]","[""100-120"",""4-4.5"",""5-6"",""5-6"",""100-120"",""4-4.5""]","[""120-140"",""4.5-5"",""6-7"",""6-7"",""120-140"",""4.5-5""]","[""140-160"",""5-5.5"",""7-8"",""7-8"",""140-160"",""5-5.5""]","[""160-180"",""5.5-6"",""8-9"",""8-9"",""160-180"",""5.5-6""]","[""180-200"",""6-6.5"",""9-10"",""9-10"",""180-200"",""6-6.5""]","[""200-220"",""6.5-7"",""10-20"",""10-20"",""200-220"",""6.5-7""]","[""220-10000"",""7-15"",""20-60"",""20-60"",""220-10000"",""7-15""]","["">10000"","">15"","">60"","">60"","">10000"","">15""]","[1,2,3,4,5,6]","[""bird"",""giraffe"",""turtle"",""cheetah"",""elephant"",""penguin""]","[""fig"",""lit"",""lit"",""lit"",""fig"",""fig""]","[""light"",""tall"",""slow"",""fast"",""heavy"",""short""]","[""weight"",""height"",""speed"",""speed"",""weight"",""height""]","[""woman"",""man"",""man"",""man"",""woman"",""man""]","[""woman"",""woman"",""man"",""woman"",""man"",""man""]","""M""","""35""","""4""","""english""",""""""
1,374UMBUHN5QJETRA2UDODJCZ9MHCTP,3R1N6HJI9BQOZ5YT44GEO21B424LWJ,Psychology study: Conversations (sclmetint3),We are interested in how people communicate with each other. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Mon Jan 25 14:57:20 PST 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Feb 24 14:57:20 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=374UMBUHN5QJETRA2UDODJCZ9MHCTP,3IX2EGZR7BKWTCIHZZUGPSJZFI0JRF,1,Submitted,Tue Jan 26 07:41:21 PST 2016,Mon Jan 25 14:57:48 PST 2016,Mon Jan 25 15:01:21 PST 2016,,,,,,1,"[0.88,0.01,0.86,0.02,0.01,0.02]","[0.56,0,0.59,0.14,0.01,0.02]","[0.31,0,0.26,0.6,0.02,0.01]","[0.14,0,0.02,0.67,0.32,0.03]","[0.03,0.01,0.03,0.43,0.58,0.68]","[0.02,0.02,0.03,0.16,0.49,0.3]","[0.03,0.79,0.02,0.01,0.33,0.03]","[0.01,0.62,0.02,0.01,0.14,0.02]","[0.02,0.14,0.03,0.04,0.01,0.03]","[0.03,0.01,0.03,0.02,0.03,0.02]","[""0-1"",""0-1"",""0-1"",""0-10"",""0-10"",""0-1""]","[""1-5"",""1-4"",""1-5"",""10-100"",""10-100"",""1-4""]","[""5-6"",""4-4.5"",""5-6"",""100-120"",""100-120"",""4-4.5""]","[""6-7"",""4.5-5"",""6-7"",""120-140"",""120-140"",""4.5-5""]","[""7-8"",""5-5.5"",""7-8"",""140-160"",""140-160"",""5-5.5""]","[""8-9"",""5.5-6"",""8-9"",""160-180"",""160-180"",""5.5-6""]","[""9-10"",""6-6.5"",""9-10"",""180-200"",""180-200"",""6-6.5""]","[""10-20"",""6.5-7"",""10-20"",""200-220"",""200-220"",""6.5-7""]","[""20-60"",""7-15"",""20-60"",""220-10000"",""220-10000"",""7-15""]","["">60"","">15"","">60"","">10000"","">10000"","">15""]","[1,2,3,4,5,6]","[""cheetah"",""giraffe"",""turtle"",""bird"",""elephant"",""penguin""]","[""lit"",""fig"",""fig"",""lit"",""lit"",""fig""]","[""fast"",""tall"",""slow"",""light"",""heavy"",""short""]","[""speed"",""height"",""speed"",""weight"",""weight"",""height""]","[""man"",""woman"",""man"",""woman"",""man"",""woman""]","[""woman"",""woman"",""man"",""woman"",""man"",""man""]","""M""","""45""","""11""","""english""",""""""
2,374UMBUHN5QJETRA2UDODJCZ9MHCTP,3R1N6HJI9BQOZ5YT44GEO21B424LWJ,Psychology study: Conversations (sclmetint3),We are interested in how people communicate with each other. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Mon Jan 25 14:57:20 PST 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Feb 24 14:57:20 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=374UMBUHN5QJETRA2UDODJCZ9MHCTP,3WT783CTPBIM5RVMTAR429107COBCG,2,Submitted,Tue Jan 26 07:45:23 PST 2016,Mon Jan 25 14:57:46 PST 2016,Mon Jan 25 15:05:23 PST 2016,,,,,,1,"[0,0,0.85,0.86,0,0]","[0.12,0,0.82,0.81,0.54,0.11]","[0.59,0,0.23,0.42,0.89,0.29]","[0.79,0,0,0.12,0.81,0.45]","[0.59,0,0,0,0.3,0.92]","[0.05,0.88,0,0,0,0.52]","[0,0.74,0,0,0,0]","[0,0.6,0,0,0,0]","[0,0.06,0,0,0,0]","[0,0,0,0,0,0]","[""0-10"",""0-1"",""0-1"",""0-1"",""0-10"",""0-1""]","[""10-100"",""1-4"",""1-5"",""1-5"",""10-100"",""1-4""]","[""100-120"",""4-4.5"",""5-6"",""5-6"",""100-120"",""4-4.5""]","[""120-140"",""4.5-5"",""6-7"",""6-7"",""120-140"",""4.5-5""]","[""140-160"",""5-5.5"",""7-8"",""7-8"",""140-160"",""5-5.5""]","[""160-180"",""5.5-6"",""8-9"",""8-9"",""160-180"",""5.5-6""]","[""180-200"",""6-6.5"",""9-10"",""9-10"",""180-200"",""6-6.5""]","[""200-220"",""6.5-7"",""10-20"",""10-20"",""200-220"",""6.5-7""]","[""220-10000"",""7-15"",""20-60"",""20-60"",""220-10000"",""7-15""]","["">10000"","">15"","">60"","">60"","">10000"","">15""]","[1,2,3,4,5,6]","[""bird"",""giraffe"",""turtle"",""cheetah"",""elephant"",""penguin""]","[""fig"",""fig"",""lit"",""lit"",""lit"",""fig""]","[""light"",""tall"",""slow"",""fast"",""heavy"",""short""]","[""weight"",""height"",""speed"",""speed"",""weight"",""height""]","[""woman"",""man"",""man"",""woman"",""woman"",""man""]","[""man"",""woman"",""woman"",""man"",""woman"",""man""]","""F""","""35""","""4""","""English""","""Thanks for the HIT :)"""
3,374UMBUHN5QJETRA2UDODJCZ9MHCTP,3R1N6HJI9BQOZ5YT44GEO21B424LWJ,Psychology study: Conversations (sclmetint3),We are interested in how people communicate with each other. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Mon Jan 25 14:57:20 PST 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Feb 24 14:57:20 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=374UMBUHN5QJETRA2UDODJCZ9MHCTP,3Z7EFSHGN9FTIUYNY6JMR6SSQFDCXR,3,Submitted,Tue Jan 26 07:45:23 PST 2016,Mon Jan 25 14:57:49 PST 2016,Mon Jan 25 15:05:23 PST 2016,,,,,,1,"[1,0,0.01,0,0,0]","[1,0,0.63,0.04,0.06,0.54]","[1,0.02,0.82,0.11,0.09,0.81]","[1,0.04,0.85,0.28,0.16,0.64]","[1,0.19,0.65,0.74,0.3,0.24]","[0.91,0.65,0.45,0.64,0.5,0.1]","[0.82,0.43,0.21,0.06,0.7,0.03]","[0.7,0.13,0.12,0,0.8,0.03]","[0.33,0.04,0.04,0.01,0.69,0.02]","[0,0,0,0,0,0]","[""0-1"",""0-1"",""0-1"",""0-1"",""0-10"",""0-10""]","[""1-5"",""1-4"",""1-5"",""1-4"",""10-100"",""10-100""]","[""5-6"",""4-4.5"",""5-6"",""4-4.5"",""100-120"",""100-120""]","[""6-7"",""4.5-5"",""6-7"",""4.5-5"",""120-140"",""120-140""]","[""7-8"",""5-5.5"",""7-8"",""5-5.5"",""140-160"",""140-160""]","[""8-9"",""5.5-6"",""8-9"",""5.5-6"",""160-180"",""160-180""]","[""9-10"",""6-6.5"",""9-10"",""6-6.5"",""180-200"",""180-200""]","[""10-20"",""6.5-7"",""10-20"",""6.5-7"",""200-220"",""200-220""]","[""20-60"",""7-15"",""20-60"",""7-15"",""220-10000"",""220-10000""]","["">60"","">15"","">60"","">15"","">10000"","">10000""]","[1,2,3,4,5,6]","[""cheetah"",""giraffe"",""turtle"",""penguin"",""elephant"",""bird""]","[""fig"",""fig"",""lit"",""lit"",""fig"",""lit""]","[""fast"",""tall"",""slow"",""short"",""heavy"",""light""]","[""speed"",""height"",""speed"",""height"",""weight"",""weight""]","[""man"",""man"",""man"",""woman"",""man"",""woman""]","[""man"",""woman"",""woman"",""man"",""man"",""woman""]","""M""","""35""","""4""","""English""","""Thank you very much!"""
4,374UMBUHN5QJETRA2UDODJCZ9MHCTP,3R1N6HJI9BQOZ5YT44GEO21B424LWJ,Psychology study: Conversations (sclmetint3),We are interested in how people communicate with each other. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Mon Jan 25 14:57:20 PST 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Feb 24 14:57:20 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=374UMBUHN5QJETRA2UDODJCZ9MHCTP,31Q0U3WYDPGFGCIY0WQ4GBWDKP617U,4,Submitted,Tue Jan 26 07:45:35 PST 2016,Mon Jan 25 14:57:23 PST 2016,Mon Jan 25 15:05:35 PST 2016,,,,,,1,"[0.96,0.03,0.03,0.97,0.02,0.02]","[0.98,0.02,0.24,0.96,0.01,0.36]","[0.89,0.28,0.61,0.76,0.02,0.61]","[0.84,0.5,0.59,0.67,0.01,0.78]","[0.48,0.5,0.49,0.49,0.01,0.76]","[0.21,0.19,0.29,0.26,0.43,0.56]","[0.1,0.03,0.1,0.06,0.62,0.24]","[0.03,0.01,0.02,0,0.66,0.05]","[0.02,0.02,0.01,0,0.5,0.02]","[0.02,0.02,0.01,0.01,0.96,0]","[""0-1"",""0-1"",""0-10"",""0-1"",""0-1"",""0-10""]","[""1-5"",""1-4"",""10-100"",""1-5"",""1-4"",""10-100""]","[""5-6"",""4-4.5"",""100-120"",""5-6"",""4-4.5"",""100-120""]","[""6-7"",""4.5-5"",""120-140"",""6-7"",""4.5-5"",""120-140""]","[""7-8"",""5-5.5"",""140-160"",""7-8"",""5-5.5"",""140-160""]","[""8-9"",""5.5-6"",""160-180"",""8-9"",""5.5-6"",""160-180""]","[""9-10"",""6-6.5"",""180-200"",""9-10"",""6-6.5"",""180-200""]","[""10-20"",""6.5-7"",""200-220"",""10-20"",""6.5-7"",""200-220""]","[""20-60"",""7-15"",""220-10000"",""20-60"",""7-15"",""220-10000""]","["">60"","">15"","">10000"","">60"","">15"","">10000""]","[1,2,3,4,5,6]","[""cheetah"",""penguin"",""elephant"",""turtle"",""giraffe"",""bird""]","[""lit"",""lit"",""lit"",""fig"",""fig"",""fig""]","[""fast"",""short"",""heavy"",""slow"",""tall"",""light""]","[""speed"",""height"",""weight"",""speed"",""height"",""weight""]","[""woman"",""man"",""woman"",""woman"",""man"",""man""]","[""man"",""woman"",""woman"",""woman"",""man"",""man""]","""F""","""35""","""6""","""English""",""""""
5,374UMBUHN5QJETRA2UDODJCZ9MHCTP,3R1N6HJI9BQOZ5YT44GEO21B424LWJ,Psychology study: Conversations (sclmetint3),We are interested in how people communicate with each other. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Mon Jan 25 14:57:20 PST 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Feb 24 14:57:20 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=374UMBUHN5QJETRA2UDODJCZ9MHCTP,3TPWUS5F892ETUTXO1N0PNELHD7CWY,5,Submitted,Tue Jan 26 07:46:18 PST 2016,Mon Jan 25 14:57:47 PST 2016,Mon Jan 25 15:06:18 PST 2016,,,,,,1,"[0.99,1,1,1,1,1]","[1,1,1,1,1,1]","[0.99,0.29,0.25,0.23,1,1]","[0.99,0.09,0.11,0,1,1]","[0.97,0,0,0,1,0.57]","[0.79,0,0,0,1,0.11]","[0.71,0,0,0,0.59,0]","[0.23,0,0,0,0.12,0]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[""0-1"",""0-10"",""0-10"",""0-1"",""0-1"",""0-1""]","[""1-5"",""10-100"",""10-100"",""1-5"",""1-4"",""1-4""]","[""5-6"",""100-120"",""100-120"",""5-6"",""4-4.5"",""4-4.5""]","[""6-7"",""120-140"",""120-140"",""6-7"",""4.5-5"",""4.5-5""]","[""7-8"",""140-160"",""140-160"",""7-8"",""5-5.5"",""5-5.5""]","[""8-9"",""160-180"",""160-180"",""8-9"",""5.5-6"",""5.5-6""]","[""9-10"",""180-200"",""180-200"",""9-10"",""6-6.5"",""6-6.5""]","[""10-20"",""200-220"",""200-220"",""10-20"",""6.5-7"",""6.5-7""]","[""20-60"",""220-10000"",""220-10000"",""20-60"",""7-15"",""7-15""]","["">60"","">10000"","">10000"","">60"","">15"","">15""]","[1,2,3,4,5,6]","[""cheetah"",""elephant"",""bird"",""turtle"",""giraffe"",""penguin""]","[""fig"",""lit"",""lit"",""lit"",""fig"",""fig""]","[""fast"",""heavy"",""light"",""slow"",""tall"",""short""]","[""speed"",""weight"",""weight"",""speed"",""height"",""height""]","[""woman"",""woman"",""woman"",""man"",""man"",""woman""]","[""woman"",""woman"",""woman"",""man"",""man"",""man""]","""M""","""35""","""4""","""english""","""thank you!"""
6,374UMBUHN5QJETRA2UDODJCZ9MHCTP,3R1N6HJI9BQOZ5YT44GEO21B424LWJ,Psychology study: Conversations (sclmetint3),We are interested in how people communicate with each other. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Mon Jan 25 14:57:20 PST 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Feb 24 14:57:20 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=374UMBUHN5QJETRA2UDODJCZ9MHCTP,3OVHNO1VE62SSH4GZK2I8XQLJFMZDA,6,Submitted,Tue Jan 26 07:47:16 PST 2016,Mon Jan 25 14:57:33 PST 2016,Mon Jan 25 15:07:16 PST 2016,,,,,,1,"[0.57,1,0.06,0.02,0.02,0.95]","[0.55,0.95,0.02,0.26,0.42,0.16]","[0.47,0.97,0.35,0.38,0.43,0.15]","[0.55,0.97,0.37,0.44,0.45,0.14]","[0.49,0.99,0.51,0.08,0.44,0.08]","[0.49,0.45,0.56,0.03,0.44,0.06]","[0.86,0.3,0.58,0.04,0.46,0.02]","[0.99,0.25,0.67,0.01,0.03,0.02]","[0.6,0.15,0.57,0.01,0.02,0.03]","[0.04,0.03,0.03,0.01,0.02,0.03]","[""0-1"",""0-1"",""0-10"",""0-1"",""0-10"",""0-1""]","[""1-4"",""1-5"",""10-100"",""1-4"",""10-100"",""1-5""]","[""4-4.5"",""5-6"",""100-120"",""4-4.5"",""100-120"",""5-6""]","[""4.5-5"",""6-7"",""120-140"",""4.5-5"",""120-140"",""6-7""]","[""5-5.5"",""7-8"",""140-160"",""5-5.5"",""140-160"",""7-8""]","[""5.5-6"",""8-9"",""160-180"",""5.5-6"",""160-180"",""8-9""]","[""6-6.5"",""9-10"",""180-200"",""6-6.5"",""180-200"",""9-10""]","[""6.5-7"",""10-20"",""200-220"",""6.5-7"",""200-220"",""10-20""]","[""7-15"",""20-60"",""220-10000"",""7-15"",""220-10000"",""20-60""]","["">15"","">60"","">10000"","">15"","">10000"","">60""]","[1,2,3,4,5,6]","[""giraffe"",""cheetah"",""elephant"",""penguin"",""bird"",""turtle""]","[""fig"",""lit"",""fig"",""fig"",""lit"",""lit""]","[""tall"",""fast"",""heavy"",""short"",""light"",""slow""]","[""height"",""speed"",""weight"",""height"",""weight"",""speed""]","[""woman"",""man"",""man"",""man"",""woman"",""man""]","[""woman"",""woman"",""man"",""woman"",""man"",""man""]","""F""","""25""","""11""","""english""","""thanks!"""
7,374UMBUHN5QJETRA2UDODJCZ9MHCTP,3R1N6HJI9BQOZ5YT44GEO21B424LWJ,Psychology study: Conversations (sclmetint3),We are interested in how people communicate with each other. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Mon Jan 25 14:57:20 PST 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Feb 24 14:57:20 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=374UMBUHN5QJETRA2UDODJCZ9MHCTP,3YZ8UPK3VTN11Q4ST18Z7ZTOWXWCUZ,7,Submitted,Tue Jan 26 07:51:33 PST 2016,Mon Jan 25 14:57:20 PST 2016,Mon Jan 25 15:11:33 PST 2016,,,,,,1,"[0.99,0.01,0.01,0,0,0]","[0.35,0.02,0.05,0.06,0,0]","[0.09,0.16,0.1,0.55,0.37,0]","[0.02,0.32,0.13,0.83,0.59,0.1]","[0.03,0.76,0.69,0.53,0.8,0.11]","[0.03,0.67,0.87,0.28,0.72,0.19]","[0.01,0,0.13,0,0.44,0.23]","[0.02,0,0,0,0.14,0.75]","[0.03,0,0,0,0,0.67]","[0.03,0,0,0,0,0]","[""0-1"",""0-1"",""0-1"",""0-10"",""0-10"",""0-1""]","[""1-5"",""1-4"",""1-4"",""10-100"",""10-100"",""1-5""]","[""5-6"",""4-4.5"",""4-4.5"",""100-120"",""100-120"",""5-6""]","[""6-7"",""4.5-5"",""4.5-5"",""120-140"",""120-140"",""6-7""]","[""7-8"",""5-5.5"",""5-5.5"",""140-160"",""140-160"",""7-8""]","[""8-9"",""5.5-6"",""5.5-6"",""160-180"",""160-180"",""8-9""]","[""9-10"",""6-6.5"",""6-6.5"",""180-200"",""180-200"",""9-10""]","[""10-20"",""6.5-7"",""6.5-7"",""200-220"",""200-220"",""10-20""]","[""20-60"",""7-15"",""7-15"",""220-10000"",""220-10000"",""20-60""]","["">60"","">15"","">15"","">10000"","">10000"","">60""]","[1,2,3,4,5,6]","[""turtle"",""penguin"",""giraffe"",""bird"",""elephant"",""cheetah""]","[""fig"",""lit"",""lit"",""fig"",""lit"",""fig""]","[""slow"",""short"",""tall"",""light"",""heavy"",""fast""]","[""speed"",""height"",""height"",""weight"",""weight"",""speed""]","[""man"",""man"",""woman"",""man"",""woman"",""woman""]","[""woman"",""woman"",""man"",""man"",""man"",""woman""]","""F""","""35""","""4""","""english""",""""""
8,374UMBUHN5QJETRA2UDODJCZ9MHCTP,3R1N6HJI9BQOZ5YT44GEO21B424LWJ,Psychology study: Conversations (sclmetint3),We are interested in how people communicate with each other. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Mon Jan 25 14:57:20 PST 2016,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Feb 24 14:57:20 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=374UMBUHN5QJETRA2UDODJCZ9MHCTP,3TMSXRD2X61U6RJZ84YG8RVUDGH1WY,8,Submitted,Tue Jan 26 08:03:03 PST 2016,Mon Jan 25 15:16:07 PST 2016,Mon Jan 25 15:23:03 PST 2016,,,,,,1,"[0.81,0.31,0.37,0.08,0.91,0.56]","[0.75,0.22,0.66,0.11,0.86,0.58]","[0.63,0.22,0.62,0.15,0.08,0.16]","[0.57,0.31,0.85,0.16,0.16,0.11]","[0.78,0.35,0.88,0.21,0.06,0.1]","[0.66,0.48,0.9,0.84,0.06,0.25]","[0.7,0.49,0.83,0.93,0.02,0.18]","[0.71,0.61,0.93,0.1,0.05,0.02]","[0.72,0.82,0.94,0.09,0.03,0.05]","[0.58,0.64,0.11,0.08,0.06,0.04]","[""0-1"",""0-10"",""0-1"",""0-1"",""0-1"",""0-10""]","[""1-4"",""10-100"",""1-5"",""1-4"",""1-5"",""10-100""]","[""4-4.5"",""100-120"",""5-6"",""4-4.5"",""5-6"",""100-120""]","[""4.5-5"",""120-140"",""6-7"",""4.5-5"",""6-7"",""120-140""]","[""5-5.5"",""140-160"",""7-8"",""5-5.5"",""7-8"",""140-160""]","[""5.5-6"",""160-180"",""8-9"",""5.5-6"",""8-9"",""160-180""]","[""6-6.5"",""180-200"",""9-10"",""6-6.5"",""9-10"",""180-200""]","[""6.5-7"",""200-220"",""10-20"",""6.5-7"",""10-20"",""200-220""]","[""7-15"",""220-10000"",""20-60"",""7-15"",""20-60"",""220-10000""]","["">15"","">10000"","">60"","">15"","">60"","">10000""]","[1,2,3,4,5,6]","[""penguin"",""elephant"",""cheetah"",""giraffe"",""turtle"",""bird""]","[""lit"",""lit"",""fig"",""lit"",""fig"",""fig""]","[""short"",""heavy"",""fast"",""tall"",""slow"",""light""]","[""height"",""weight"",""speed"",""height"",""speed"",""weight""]","[""woman"",""woman"",""man"",""woman"",""woman"",""man""]","[""man"",""woman"",""woman"",""man"",""woman"",""man""]","""M""","""35""","""6""","""english""",""""""
